id,datestamp,L,KL,GymReal,MBGs,KRS,Gruppe,TPB_Mean,MITTELWERT,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B4_invert,B5,B6,B7,B8_invert,B9_invert,B10,PROB1_codiert,PROB2_codiert,PROB3_codiert,PROB4_codiert,PROB5_codiert,PROB6_codiert,PROB7_codiert,AT2,B3,B4,B8,B9,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,filter_$,ü25,PrePost,B3_invert
169,2023-05-10T08:33:42Z,0,10,1,0,0,0,0.688888889,0.954545455,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1.444444444,3,1,0,0,3,0,3,3,0,7,4,1,5,6,3,2,0,3,3,0,0,07:25:33,445.55,7.425833333,PRB7,PRB4,PRB1,PRB5,PRB6,PRB3,PRB2,0,0,0,0
125,2023-05-10T08:20:40Z,0,10,1,0,0,0,1.222222222,1.272727273,2.5,2,3,3,2,0.333333333,0,0,1,0.666666667,0,2,0,1.5,1,2,1.111111111,0,2,2,1,1,0,1,3,0,2,5,4,3,1,6,7,0,1,1,2,0,07:28:35,448.5833333,7.476388889,PRB2,PRB5,PRB4,PRB3,PRB1,PRB6,PRB7,0,0,1,2
153,2023-05-10T08:33:36Z,0,10,1,0,0,0,1.825,1.85,1.75,2,2,3,0,1,1,1,NA,2,1,3,2,2.5,2,3,1.875,3,2,NA,0,3,2,1,2,2,2,3,6,7,4,5,1,1,1,NA,2,1,07:30:22,450.3666667,7.506111111,PRB2,PRB3,PRB6,PRB7,PRB4,PRB5,PRB1,0,2,1,2
143,2023-05-10T08:26:01Z,0,11,1,0,0,0,1.111111111,1.2,2.5,2,3,NA,NA,0,0,0,0,1.333333333,0,2,2,0.5,1,0,1.222222222,1,1,2,0,3,1,0,3,0,4,2,3,1,7,6,5,0,0,1,3,0,07:34:08,454.1333333,7.568888889,PRB4,PRB2,PRB3,PRB1,PRB7,PRB6,PRB5,0,2,0,3
156,2023-05-10T08:33:44Z,0,10,1,0,0,0,1.708333333,1.8,2.5,3,3,2,2,0.666666667,1,0,1,1.5,1,2,NA,2,2,2,1.875,0,2,3,1,3,3,1,2,NA,6,1,5,7,2,4,3,0,1,0,2,1,07:37:01,457.0166667,7.616944444,PRB6,PRB1,PRB5,PRB7,PRB2,PRB4,PRB3,0,2,1,2
136,2023-05-10T08:25:24Z,0,10,1,0,0,0,0.2,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,3,1,2,6,7,5,4,3,3,0,0,3,3,07:43:25,463.4166667,7.723611111,PRB1,PRB2,PRB6,PRB7,PRB5,PRB4,PRB3,0,0,1,3
131,2023-05-10T08:25:25Z,0,10,1,1,1,2,2.2,2.19047619,2.75,3,3,3,2,1.666666667,2,2,1,2.333333333,2,3,2,2,2,2,2.25,2,3,NA,1,3,0,3,3,3,2,4,5,6,1,7,3,0,2,NA,0,0,07:45:59,465.9833333,7.766388889,PRB2,PRB4,PRB5,PRB6,PRB1,PRB7,PRB3,0,1,1,1
129,2023-05-10T08:25:24Z,0,10,1,0,1,2,1.944444444,1.909090909,2.5,2,3,3,2,1.333333333,1,2,1,2,2,3,1,2,2,2,1.888888889,2,1,0,1,3,1,3,3,3,4,6,2,7,5,3,1,0,2,3,0,0,07:47:16,467.2666667,7.787777778,PRB4,PRB6,PRB2,PRB7,PRB5,PRB3,PRB1,0,0,2,1
119,2023-05-10T08:19:58Z,0,10,1,1,1,2,1.825,1.9,2,2,3,2,1,1.333333333,1,2,1,1.666666667,2,2,1,2,2,2,2.125,1,3,2,NA,2,1,3,3,2,4,2,6,1,3,5,7,0,NA,1,0,0,07:47:44,467.7333333,7.795555556,PRB4,PRB2,PRB6,PRB1,PRB3,PRB5,PRB7,0,2,1,NA
187,2023-05-15T11:54:52Z,0,9,1,1,0,1,1.438888889,1.318181818,1.75,2,2,2,1,1,1,1,1,1.333333333,2,2,0,2,2,2,1.111111111,1,0,0,1,2,1,1,3,1,1,4,5,2,6,3,7,1,2,3,2,0,07:48:16,468.2666667,7.804444444,PRB1,PRB4,PRB5,PRB2,PRB6,PRB3,PRB7,1,0,1,1
