CASE,QUESTNNR,MODE,STARTED,AT01_01,AT01_02,AT01_03,AT01_04,B001_01,B001_02,B001_03,B001_04,B001_05,B001_06,B001_07,B001_08,B001_09,B001_10,CS01_01,CS01_02,CS01_03,IN01_01,IN01_02,IN01_03,PB01_01,PB01_02,SN01_01,SN01_02,SN01_03,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,SW01_06,SW01_07,SW01_08,WD01,WD02,WD02_01,WD02_02,WD02_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME_SUM,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,Group,count_nas,count_minus_ones,AT01_02_inverse,B001_03_inverse,B001_04_inverse,B001_08_inverse,B001_09_inverse,SW01_03_inverse,SW01_05_inverse
51,base,1,2024-05-14 09:55:03,2,0,3,2,0,1,1,3,0,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,3,2,1,2,1,1,2,2,5,0,0,0,0,33,33,43,42,32,32,108,83,31,437,2024-05-14 10:02:20,0,FALSE,9,9,0,0,0.66,group0,0,0,3,2,0,1,2,2,2
52,base,1,2024-05-14 09:55:05,3,0,2,1,0,0,0,0,0,0,0,3,1,2,1,2,1,0,1,0,0,0,2,0,1,0,0,3,0,3,1,2,2,5,0,0,0,0,23,10,48,18,32,20,73,74,31,329,2024-05-14 10:00:34,0,FALSE,9,9,0,0,0.94,group0,0,0,3,3,3,0,2,0,0
54,base,1,2024-05-14 09:55:18,1,3,1,2,0,2,0,1,0,3,2,3,2,1,-100,-100,-100,1,2,1,2,1,1,1,0,1,1,1,1,2,1,1,1,0,0,0,0,0,8,12,51,20,21,24,76,101,2,316,2024-05-14 10:00:34,0,FALSE,9,9,0,0,1.25,group0,0,2,0,3,2,0,1,2,1
55,base,1,2024-05-14 09:55:19,2,0,2,1,0,0,2,0,0,3,0,0,0,1,2,2,2,1,3,1,1,2,1,0,0,3,0,2,0,1,1,1,1,5,0,0,0,0,3,9,83,25,17,57,60,115,11,346,2024-05-14 10:01:40,0,FALSE,9,9,0,0,1.21,group0,0,0,3,1,3,3,3,1,2
56,base,1,2024-05-14 09:55:24,2,1,2,1,1,2,1,1,-100,2,1,2,2,1,2,2,2,1,-100,-100,1,1,1,1,1,2,1,2,2,1,1,1,1,5,0,0,0,0,13,16,36,19,14,23,74,51,25,271,2024-05-14 09:59:55,0,FALSE,9,9,0,0,1.08,group0,0,2,2,2,2,1,1,1,2
57,base,1,2024-05-14 09:55:46,3,1,3,2,3,3,2,2,-100,3,3,0,0,-100,2,2,1,2,3,2,2,2,2,1,1,2,2,1,1,1,2,2,2,5,0,0,0,0,15,15,56,19,21,25,68,83,18,320,2024-05-14 10:01:07,0,FALSE,9,9,0,0,0.94,group0,0,1,2,1,1,3,3,2,2
60,base,1,2024-05-16 10:51:15,2,0,2,3,3,2,1,2,1,3,3,0,0,-100,3,3,3,3,3,3,2,2,2,2,0,3,3,0,3,3,3,3,3,6,0,0,0,0,36,9,16,12,7,13,36,29,9,167,2024-05-16 10:54:02,0,FALSE,9,9,0,0,1.88,group2,0,0,3,2,1,3,3,3,0
62,base,1,2024-05-17 10:06:42,3,0,3,2,0,0,1,1,1,2,1,1,0,-100,2,1,0,0,1,0,2,2,1,1,0,2,0,1,1,1,0,2,1,6,0,0,0,0,15,11,23,16,11,16,38,64,13,207,2024-05-17 10:10:09,0,FALSE,9,9,0,0,1.46,group0,0,0,3,2,2,2,3,2,2
64,base,1,2024-05-17 10:08:49,3,0,3,0,0,1,3,3,0,3,0,2,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0,1,6,0,0,0,0,10,12,34,14,20,31,45,110,22,298,2024-05-17 10:13:47,0,FALSE,9,9,0,0,1.14,group0,0,0,3,0,0,1,3,1,1
65,base,1,2024-05-17 10:11:23,2,0,2,1,0,0,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,6,0,0,0,0,7,9,70,33,18,25,97,212,109,350,2024-05-17 10:21:03,0,FALSE,9,9,0,0,0.88,group0,0,0,3,3,3,0,1,0,0
67,base,1,2024-05-17 11:01:53,2,0,3,2,1,2,2,1,-100,3,3,0,0,-100,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,2,6,0,0,0,0,16,10,22,13,12,12,41,58,27,211,2024-05-17 11:05:24,0,FALSE,9,9,0,0,1.47,group2,0,1,3,1,2,3,3,2,2
68,base,1,2024-05-17 11:50:19,3,0,3,2,2,3,1,2,0,3,2,1,1,3,2,1,1,1,3,0,3,2,3,0,1,3,2,1,1,1,0,1,2,5,1,0,0,0,5,16,71,95,10,15,142,120,43,442,2024-05-17 11:58:56,0,FALSE,9,9,0,0,0.99,group2,0,0,3,2,1,2,2,2,2
69,base,1,2024-05-17 11:50:21,3,1,3,1,1,3,1,-100,-100,3,0,1,-100,3,2,1,1,2,2,0,1,2,0,0,1,2,2,1,1,2,0,1,2,5,0,0,0,0,2,16,124,20,34,22,133,122,20,494,2024-05-17 11:58:35,0,FALSE,9,9,0,0,0.98,group2,0,2,2,2,-100,2,-100,2,1
71,base,1,2024-05-17 11:50:26,-100,1,2,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,5,0,0,0,0,18,13,190,13,47,15,71,24,14,241,2024-05-17 11:57:11,0,FALSE,9,9,0,0,1.2,group0,0,8,2,3,1,0,0,-100,-100
72,base,1,2024-05-17 11:50:26,3,1,2,2,3,2,1,3,-100,3,2,0,0,-100,2,1,2,1,2,3,2,2,2,1,0,2,2,1,2,1,0,2,2,5,0,0,0,0,9,30,145,27,10,13,63,43,15,269,2024-05-17 11:56:21,0,FALSE,9,9,0,0,1.13,group0,0,1,2,2,0,3,3,2,2
73,base,1,2024-05-17 11:50:30,2,0,3,0,0,2,2,3,3,3,2,0,0,-100,2,2,2,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,14,5,60,9,16,8,76,53,10,251,2024-05-17 11:54:41,0,FALSE,9,9,0,0,1.65,group0,0,0,3,1,0,3,3,0,0
81,base,1,2024-05-17 11:50:44,2,0,2,2,1,2,2,1,1,2,2,0,1,-100,3,2,2,1,2,1,1,1,1,1,-100,2,0,1,0,1,1,2,0,5,0,0,0,0,3,11,110,47,13,36,179,54,18,367,2024-05-17 11:58:36,0,FALSE,9,9,0,0,1.08,group0,0,1,3,1,2,3,2,2,2
82,base,1,2024-05-17 11:50:48,3,0,2,2,1,1,1,2,-100,1,0,2,1,-100,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,5,0,0,0,0,20,31,148,16,14,120,56,34,14,266,2024-05-17 11:58:21,0,FALSE,9,9,0,0,0.97,group0,0,1,3,2,1,1,2,1,1
88,base,1,2024-05-17 12:24:10,2,1,2,1,1,2,1,1,0,3,0,3,0,0,2,2,1,2,3,3,1,2,2,1,3,2,2,3,2,2,1,2,2,5,0,0,0,0,8,14,33,14,42,57,109,136,73,368,2024-05-17 12:32:16,0,FALSE,9,9,0,0,0.9,group2,0,0,2,2,2,0,3,0,1
89,base,1,2024-05-17 14:07:04,2,1,2,2,1,2,-100,1,0,2,1,1,1,0,2,2,2,1,2,1,2,2,1,1,1,1,1,-100,2,-100,2,-100,2,6,0,0,0,0,5,39,63,20,19,22,74,75,21,338,2024-05-17 14:12:43,0,FALSE,9,9,0,0,1.05,group0,0,3,2,-100,2,2,2,-100,-100
90,base,1,2024-05-17 16:38:10,1,1,1,1,0,1,0,2,2,2,0,2,0,1,2,-100,-100,1,1,0,1,0,0,2,2,2,1,2,0,2,1,0,2,6,0,0,0,0,5,15,34,17,12,21,59,63,16,242,2024-05-17 16:42:12,0,FALSE,9,9,0,0,1.36,group0,0,1,2,3,1,1,3,1,1
91,base,1,2024-05-20 18:02:55,2,0,3,2,3,3,2,1,2,3,2,1,1,3,3,2,3,3,3,2,3,3,3,1,2,3,3,0,2,0,2,2,3,5,0,0,0,0,8,13,43,18,8,21,79,66,15,271,2024-05-20 18:07:26,0,FALSE,9,9,0,0,1.25,group0,0,0,3,1,2,2,2,3,3
92,base,1,2024-05-28 23:56:26,2,0,3,-100,3,2,0,-100,-100,3,1,2,1,2,2,2,2,-100,2,-100,3,3,1,1,2,3,2,0,1,0,2,2,2,6,0,0,0,0,17,18,57,21,16,35,94,74,32,364,2024-05-29 00:02:30,0,FALSE,9,9,0,0,0.82,group0,0,5,3,3,-100,1,2,3,3
93,base,1,2024-06-01 18:17:25,2,0,3,2,3,2,-100,1,1,2,2,2,2,-100,3,3,2,-100,2,2,2,2,2,2,-100,3,2,0,-100,-100,2,2,2,6,0,0,0,0,32,8,61,117,7,12,32,460,11,256,2024-06-01 18:29:45,0,FALSE,9,9,0,0,1.26,group0,0,6,3,-100,2,1,1,3,-100
99,base,1,2024-06-06 09:45:52,2,0,3,2,3,2,2,1,2,3,2,0,0,-100,3,2,2,2,3,2,2,3,2,1,2,2,-100,0,3,1,3,3,2,6,0,0,0,0,2,13,30,25,11,13,71,72,13,251,2024-06-06 09:50:03,0,FALSE,9,9,0,0,1.47,group2,0,1,3,1,2,3,3,3,2
